match_key,tour,tournament,year,player,milestone,sim_prob,actual_reached,logged_at
ATP|US Open|2021,ATP,US Open,2021,Hanfmann Y.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Hanfmann Y.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Bublik A.,semifinal,0.015,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Bublik A.,final,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Bublik A.,champion,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Monfils G.,semifinal,0.127,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Monfils G.,final,0.04,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Monfils G.,champion,0.02,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Coria F.,semifinal,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Coria F.,final,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Coria F.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Johnson S.,semifinal,0.006,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Johnson S.,final,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Johnson S.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Marterer M.,semifinal,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Marterer M.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Marterer M.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Cecchinato M.,semifinal,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Cecchinato M.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Cecchinato M.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Svajda Z.,semifinal,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Svajda Z.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Svajda Z.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Purcell M.,semifinal,0.004,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Purcell M.,final,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Purcell M.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sinner J.,semifinal,0.09,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sinner J.,final,0.031,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sinner J.,champion,0.01,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Carreno Busta P.,semifinal,0.105,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Carreno Busta P.,final,0.039,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Carreno Busta P.,champion,0.02,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Cressy M.,semifinal,0.006,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Cressy M.,final,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Cressy M.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Korda S.,semifinal,0.023,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Korda S.,final,0.005,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Korda S.,champion,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Basilashvili N.,semifinal,0.006,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Basilashvili N.,final,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Basilashvili N.,champion,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Musetti L.,semifinal,0.008,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Musetti L.,final,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Musetti L.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Nava E.,semifinal,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Nava E.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
