tour,round,date,bet_on,opponent,model_prob,market_prob,ev_per_unit,edge_pp,decimal_odds,real_decimal_odds,won,player_hard_matches,opponent_hard_matches,min_hard_matches,event,filtered
WTA,1st Round,2026-08-31,Bucsa C.,Bejlek S.,0.2943203971647228,0.2421875,0.21525841409950064,5.21328971647228,4.129032258064516,4.0,True,91,33,33,US Open,False
WTA,1st Round,2026-08-31,Muchova K.,Kraus S.,0.9377051078536348,0.8657635467980295,0.08309608474701502,7.194156105560534,1.1550497866287341,1.1,True,110,10,10,US Open,False
WTA,1st Round,2026-08-31,Udvardy P.,Sawangkaew M.,0.41531955963972356,0.38,0.09294620957821986,3.5319559639723552,2.6315789473684212,2.63,False,20,14,14,US Open,False
WTA,1st Round,2026-08-31,Sakatsume H.,Kalinina A.,0.4811291059090782,0.2781316348195329,0.7298611365127927,20.29974710895453,3.595419847328244,3.5,True,10,101,10,US Open,False
WTA,1st Round,2026-08-31,Dart H.,Stearns P.,0.34022494019832206,0.30337078651685395,0.12148221028335793,3.6854153681468107,3.2962962962962963,3.2,True,44,89,44,US Open,False
WTA,1st Round,2026-08-31,Zheng Q.,Liutova K.,0.7023749358381606,0.6095717884130982,0.15224317986673452,9.280314742506235,1.640495867768595,1.57,True,126,4,4,US Open,False
WTA,1st Round,2026-08-31,Jacquemot E.,Bouzkova M.,0.22842297642207254,0.13341493268053856,0.7121245113470942,9.500804374153399,7.495412844036697,8.0,False,25,142,25,US Open,False
WTA,1st Round,2026-08-31,Sabalenka A.,Osorio M.,0.9537950220451926,0.9148760330578513,0.04254017766457374,3.8918988987341363,1.093044263775971,1.04,True,213,94,94,US Open,False
WTA,1st Round,2026-08-31,Boisson L.,Navarro E.,0.38767200012713887,0.2713987473903967,0.42842221585307305,11.627325273674217,3.684615384615384,3.6,False,9,107,9,US Open,False
WTA,1st Round,2026-08-31,Korpatsch T.,Tagger L.,0.4151123351745367,0.22761194029850748,0.8237722266684562,18.750039487602923,4.393442622950819,4.33,False,43,18,18,US Open,False
WTA,1st Round,2026-09-01,Tjen J.,Andreeva M.,0.20615780329488897,0.15061058344640435,0.36881352277777624,5.554721984848462,6.639639639639639,6.5,False,34,93,34,US Open,False
WTA,1st Round,2026-09-01,Rus A.,Jeanjean L.,0.5705787293613933,0.3703703703703704,0.5405625692757619,20.02083589910229,2.6999999999999997,2.63,False,48,17,17,US Open,False
WTA,1st Round,2026-09-01,Vidmanova D.,Bouzas Maneiro J.,0.521989206930852,0.49734042553191493,0.04956118612834404,2.4648781398937114,2.0106951871657754,1.94,False,14,57,14,US Open,False
WTA,1st Round,2026-09-01,Potapova A.,Semenistaja D.,0.7800260760186325,0.7763401109057302,0.004747874109714667,0.3685965112902312,1.288095238095238,1.22,True,134,6,6,US Open,False
WTA,1st Round,2026-09-01,Oliynykova O.,Brantmeier R.,0.5919293105990258,0.49734042553191493,0.19018941596381644,9.458888506711084,2.0106951871657754,1.91,True,10,1,1,US Open,False
WTA,1st Round,2026-09-01,Quevedo K.,Mertens E.,0.24636866790256906,0.18053375196232338,0.36466818655596955,6.583491594024568,5.539130434782609,6.0,False,3,161,3,US Open,False
WTA,1st Round,2026-09-01,Bencic B.,Putintseva Y.,0.8146242578711627,0.7930434782608695,0.02721260586824248,2.1580779610293144,1.2609649122807018,1.2,False,119,126,119,US Open,False
WTA,1st Round,2026-09-01,Havlickova L.,Bondar A.,0.49303054912959676,0.3949367088607595,0.24837863401404303,9.809384026883727,2.532051282051282,2.42,False,8,67,8,US Open,False
WTA,1st Round,2026-09-01,Seidel E.,Starodubtseva Y.,0.4603183171216493,0.2885032537960954,0.5955394300231605,17.181506332555387,3.466165413533835,3.5,False,31,35,31,US Open,True
WTA,1st Round,2026-09-01,Lys E.,Knutson G.,0.7190550127580265,0.578811369509044,0.24229593722034037,14.024364324898253,1.7276785714285712,1.7,True,48,2,2,US Open,False
