player,hard_elo,clay_elo,grass_elo,hard_elo_undamped,clay_elo_undamped,grass_elo_undamped,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Soler-Espinosa S.,1481.1526799838512,1481.3348052581885,1474.714746977892,1481.1526799838512,1481.3348052581885,1474.714746977892,1474.714746977892,5,17,0,190,2770,-0.19738977146409933
Fita Boluda A.,1474.3816911509437,1474.1619504398027,1474.3816911509437,1474.3816911509437,1474.1619504398027,1474.3816911509437,1474.3816911509437,0,2,0,192,75,
Kostovic T.,1475.5660990798963,1475.6032468434241,1476.461890542371,1475.5660990798963,1475.6032468434241,1476.461890542371,1474.2938301638044,1,1,1,184,34,
Beck A.,1483.9898716275206,1486.5261251117458,1490.4068394538945,1483.9898716275206,1486.5261251117458,1490.4068394538945,1474.2014704091928,119,64,15,140,3261,-0.20372446214459278
Pironkova T.,1477.8692178831195,1488.788477031981,1493.220315265754,1477.8692178831195,1488.788477031981,1493.220315265754,1474.1228671731103,186,101,52,107,1797,-0.12214328721724893
Zueger J.,1473.7254404689807,1473.7517698478152,1473.7517698478152,1473.7254404689807,1473.7517698478152,1473.7517698478152,1473.7517698478152,2,0,0,180,1280,
Bogdan A.,1448.2173252693115,1517.412953394789,1478.997326984435,1448.2173252693115,1517.412953394789,1478.997326984435,1473.6628438609964,98,67,15,538,181,-0.21153605228354794
Brace C.,1472.397647374228,1473.519258446797,1473.519258446797,1472.397647374228,1473.519258446797,1473.519258446797,1473.519258446797,4,0,0,254,5,
Aiava D.,1475.552675437621,1474.859885915377,1479.4086604019537,1475.552675437621,1474.859885915377,1479.4086604019537,1473.4931966883614,17,2,2,166,342,-0.0536426797639552
Monroy Y.,1473.4869061390543,1473.868137845315,1473.4869061390543,1473.4869061390543,1473.868137845315,1473.4869061390543,1473.4869061390543,0,2,0,765,851,
Flipkens K.,1435.3735261567551,1473.131297599604,1522.6589772944235,1435.3735261567551,1473.131297599604,1522.6589772944235,1473.4790919699453,237,72,78,190,1494,0.11927354060743273
Miyazaki Y.,1482.9180859996754,1473.3800581780529,1470.217745009215,1482.9180859996754,1473.3800581780529,1470.217745009215,1473.3800581780529,5,0,7,166,689,-0.03675614692786555
Okamura K.,1475.1669977293445,1474.3546108150563,1473.0369578665147,1475.1669977293445,1474.3546108150563,1473.0369578665147,1473.0369578665147,4,1,0,183,489,
