match_key,tour,tournament,year,player,corrections,depth,round_label,sim_prob,actual_reached,logged_at
ATP|US Open|2021|on,ATP,US Open,2021,Djere L.,on,3,Quarterfinal,0.034,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djere L.,on,4,Round of 16,0.078,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djere L.,on,5,Round of 32,0.238,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djere L.,on,6,Round of 64,0.576,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Otte O.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Otte O.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Otte O.,on,2,Semifinal,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Otte O.,on,3,Quarterfinal,0.016,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Otte O.,on,4,Round of 16,0.048,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Otte O.,on,5,Round of 32,0.17,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Otte O.,on,6,Round of 64,0.344,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sonego L.,on,0,Champion,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sonego L.,on,1,Final,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sonego L.,on,2,Semifinal,0.02,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sonego L.,on,3,Quarterfinal,0.09,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sonego L.,on,4,Round of 16,0.186,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sonego L.,on,5,Round of 32,0.438,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sonego L.,on,6,Round of 64,0.656,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fognini F.,on,0,Champion,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fognini F.,on,1,Final,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fognini F.,on,2,Semifinal,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fognini F.,on,3,Quarterfinal,0.052,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fognini F.,on,4,Round of 16,0.124,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fognini F.,on,5,Round of 32,0.282,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fognini F.,on,6,Round of 64,0.598,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Pospisil V.,on,0,Champion,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Pospisil V.,on,1,Final,0.004,0,2026-08-28T21:54:44.184749+00:00
