player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank
Prado Angelo J.C.,1483.5062413973515,1483.3557371303223,1483.5062413973515,1483.5062413973515,0,3,0,173
Lopez San Martin A.,1483.4862481810405,1483.7243602146934,1483.4862481810405,1483.4862481810405,0,1,0,550
Cui J.,1483.4109612046545,1483.4456020107996,1483.4456020107996,1483.4456020107996,1,0,0,583
Klizan M.,1483.4352421197502,1483.4953466126651,1483.4352421197502,1483.4352421197502,0,1,0,316
Tiurnev E.,1483.4051021791897,1483.4051021791897,1483.4051021791897,1483.4051021791897,1,0,0,304
Casanova H.,1483.386813098333,1483.4634614610413,1483.386813098333,1483.386813098333,0,1,0,321
Barrientos N.,1483.2944151819474,1483.2982019847746,1483.2982019847746,1483.2982019847746,1,0,0,354
Bennani R.,1483.2969801689624,1483.1917163349497,1483.2969801689624,1483.2969801689624,0,1,0,555
Crawford O.,1483.2805457035342,1483.2805457035342,1483.2047566383258,1483.2805457035342,0,0,1,248
Villanueva G.,1483.2041437076489,1483.2540444795666,1483.2540444795666,1483.2540444795666,1,0,0,279
Marcora R.,1483.2532216045,1483.2532216045,1483.2532216045,1483.2532216045,1,0,0,208
Meligeni Rodrigues F,1483.232374184136,1483.3240888948478,1483.232374184136,1483.232374184136,0,1,0,224
Marchenko I.,1482.5159060922929,1483.219963493062,1483.219963493062,1483.219963493062,5,0,0,267
Shimizu Y.,1483.217757818048,1483.2083783081503,1483.2083783081503,1483.2083783081503,1,0,0,451
Damas M.,1483.1757324379175,1483.276208417842,1483.1757324379175,1483.1757324379175,0,1,0,300
Schnur B.,1483.164058594166,1483.164058594166,1483.164058594166,1483.164058594166,1,0,0,233
Copil M.,1483.4291159704103,1483.130837746424,1483.130837746424,1483.130837746424,1,0,0,350
Squire H.,1483.0579114047257,1487.2512300140413,1480.6636505623846,1483.0579114047257,0,2,2,181
Schoenhaus M.,1483.0353474753092,1483.698780965922,1483.1617723058728,1483.0353474753092,0,1,1,336
Kadhe A.,1482.8340916120624,1482.8340916120624,1482.8340916120624,1482.8340916120624,1,0,0,778
Vavassori A.,1484.4743857809133,1494.2941459157505,1479.8724370830084,1482.7755364468026,8,13,2,282
Zahraj P.,1482.7699689977296,1482.790780219665,1482.7699689977296,1482.7699689977296,0,1,0,283
Andreev A.,1482.598897545901,1482.598897545901,1482.598897545901,1482.598897545901,1,0,0,319
Diez S.,1482.5283747983437,1482.7123279485509,1482.5283747983437,1482.5283747983437,0,1,0,292
Moundir A.,1482.4390147336028,1482.5534385887297,1482.4390147336028,1482.4390147336028,0,1,0,720
Schwaerzler J.,1483.9677575201722,1482.6495583891103,1482.3736196147568,1482.3736196147568,1,1,0,347
Ferreira Silva F.,1482.346880439477,1482.5131957287012,1482.346880439477,1482.346880439477,0,1,0,235
Etcheverry T. M.,1482.2467401011365,1482.3143849818834,1482.3143849818834,1482.3143849818834,1,0,0,58
Escoffier A.,1482.2902597081163,1482.3113864001225,1482.3113864001225,1482.3113864001225,1,0,0,172
Gunneswaran P.,1482.2029517504848,1482.2029517504848,1482.2029517504848,1482.2029517504848,1,0,0,228
Mikrut L.,1482.0072860790087,1482.0185544783599,1482.0072860790087,1482.0072860790087,0,1,0,350
Boitan G.A.,1481.817473727978,1481.871836004555,1481.817473727978,1481.817473727978,0,1,0,306
Giustino L.,1481.6321505044693,1481.8305496992693,1481.6321505044693,1481.6321505044693,0,1,0,223
Mu T.,1481.8673672124567,1481.545885303617,1481.545885303617,1481.545885303617,1,0,0,573
Mayo A.,1481.3772926128604,1481.5295376087854,1481.5295376087854,1481.5295376087854,1,0,0,689
Vesely J.,1479.9181594415354,1475.0233001200224,1503.1150250932228,1481.506740233898,19,3,6,293
Mejia N.,1480.679080140761,1481.4058399795836,1485.3960333818393,1481.4058399795836,4,0,2,129
Magadan A.,1481.8789187197867,1481.3787139346782,1481.3787139346782,1481.3787139346782,1,0,0,921
Fratangelo B.,1482.2116267393133,1481.97841590885,1481.220958197897,1481.220958197897,1,1,0,695
Kuhn N.,1480.9923025119776,1482.4143614738164,1481.4434636666151,1480.9923025119776,0,1,1,259
Collarini A.,1480.9303185998772,1481.142580358392,1480.9303185998772,1480.9303185998772,0,1,0,264
Yevseyev D.,1478.3005082921013,1485.5275626997052,1480.8142596700425,1480.8142596700425,2,2,0,207
Basing M.,1480.8135943816492,1480.8135943816492,1480.9759226215688,1480.8135943816492,0,0,1,329
