player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Lee C.Y.,1507.3206950293945,1505.2836612574843,1505.2836612574843,1510.5673225149687,,,,179.0,39.0,
Lee G.,1473.867984102332,1448.0594252355825,1473.867984102332,1447.735968204664,,,,312.0,880.0,
Leme Da Silva N.V.,1497.7145716576613,1498.6325681819317,1498.6325681819317,1497.2651363638633,,,,1206.0,354.0,
Lepchenko V.,1444.8543507950403,1463.916796717881,1471.1942518807964,1442.3885037615926,,,,172.0,48.0,-0.004938761569873773
Lew Yan Foon A.,1482.0004847128039,1490.8440623113029,1490.8440623113029,1481.6881246226058,,,,381.0,305.0,
Li A.,1575.8485594591116,1571.960900360254,1528.2068771346983,1588.181171684642,,,,30.0,1.0,0.017250204464795638
Liang E.S.,1423.874133454274,1462.9600533329262,1462.9600533329262,1425.9201066658522,,,,303.0,4.0,-0.22822475107693654
Linette M.,1564.5533462903209,1591.960673883068,1548.6104100211783,1589.5768582248113,,,,62.0,17.0,-0.1515236635501095
Lisicki S.,1478.7322115655738,1463.8279946872167,1472.0099837823836,1457.4644231311477,,,,371.0,1162.0,-0.21864693194281315
Liu C.,1446.692243298431,1478.9234102438647,1471.1299849977659,1464.96031795212,,,,111.0,47.0,0.028549631601290204
Liu F.,1483.1361604813183,1491.5620707141325,1491.5620707141325,1483.1241414282647,,,,367.0,670.0,0.04183278011932584
Liutova K.,1565.0863527688998,1532.8997075072848,1532.8997075072848,1565.7994150145696,,,,229.0,28.0,
Lizarazo Y.,1499.0780437802036,1499.0780437802036,1499.0780437802036,1498.156087560407,,,,537.0,1607.0,
Lodikova D.,1493.896041558483,1488.3578693011582,1493.896041558483,1487.7920831169656,,,,415.0,411.0,
Loeb J.,1455.990973814078,1462.049915335669,1462.739920217732,1441.4798404354642,,,,542.0,516.0,-0.2685804329999986
Lovric P.,1483.263693206478,1491.631846603239,1491.631846603239,1483.263693206478,,,,632.0,1811.0,
Lu J.,1463.0625191434242,1480.6540048529077,1480.6540048529077,1461.3080097058153,,,,259.0,670.0,
Lys E.,1588.2647520183602,1539.2950558380721,1516.2301447131674,1579.0461343262346,,,,92.0,15.0,-0.15309754821728677
Ma Y.,1471.7511728435718,1488.4001738731204,1488.4001738731204,1476.8003477462405,,,,194.0,31.0,
Makarova E.,1481.9770459060737,1477.9753275359894,1487.347255945475,1474.69451189095,,,,178.0,769.0,-0.1986887980417601
Maleckova J.,1471.4266467665543,1462.7452336198298,1477.8689841281628,1455.7379682563255,,,,589.0,405.0,
