tour,round,date,bet_on,opponent,model_prob,market_prob,edge_pp,real_decimal_odds,won,stake_flat,pnl_flat,stake_kelly_0.25,pnl_kelly_0.25,event,bet_on_hard_elo_frozen,bet_on_overall_elo_frozen,opponent_hard_elo_frozen,opponent_overall_elo_frozen,model_prob_recomputed,model_prob_diff
WTA,2nd Round,2026-08-04,Potapova A.,Ruse E.G.,0.6611850416414407,0.5132978723404255,14.78871693010152,1.91,True,1.0,0.91,7.596390117101325,6.912715006562205,Canadian Open,1692.8582644446803,1751.074365422425,1575.2388144126976,1627.0982239227085,0.6556165370634438,0.005568504577996847
WTA,1st Round,2026-08-03,Joint M.,Starodubtseva Y.,0.5891065821909487,0.4322916666666666,15.681491552428206,2.21,True,1.0,1.21,6.905610958867467,8.355789260229635,Canadian Open,1531.844755492046,1522.3654718050866,1465.8713472271809,1515.8713472271809,0.5845654227373939,0.004541159453554822
ATP,1st Round,04/08/2026,Monfils G.,Majchrzak K.,0.4533499417081766,0.2681912681912682,18.51586735169084,3.6,True,1.0,2.6,6.325377980229613,16.445982748596993,Canadian Open,1596.1048249503722,1546.1048249503722,1590.4654713299212,1640.4654713299212,0.45334994170817666,5.551115123125783e-17
ATP,1st Round,04/08/2026,Altmaier D.,Vukic A.,0.5388221184501847,0.4030612244897959,13.576089396038876,2.63,True,1.0,1.63,5.685712653041923,9.267711624458334,Canadian Open,1501.212739208608,1551.212739208608,1485.5674330095387,1462.470912372645,0.5388221184501847,0.0
WTA,3rd Round,2026-08-06,Kalinskaya A.,Shnaider D.,0.5688048147393878,0.4485488126649077,12.025600207448012,2.2,False,1.0,-1.0,5.451797223233011,-5.451797223233011,Canadian Open,1712.3578692655162,1749.9300091725163,1669.1569288906062,1719.1569288906062,0.5634023014645182,0.005402513274869625
WTA,1st Round,2026-08-03,Bondar A.,Kalinina A.,0.5124826807073407,0.3774999999999999,13.498268070734076,2.63,True,1.0,1.63,5.420991193065894,8.836215644697406,Canadian Open,1504.3819903041235,1567.394658948408,1499.086908967616,1549.086908967616,0.5086495771054135,0.0038331036019272346
ATP,2nd Round,05/08/2026,Etcheverry T.,Borges N.,0.5157821785395553,0.3844221105527638,13.136006798679151,2.55,False,1.0,-1.0,5.334827250892146,-5.334827250892146,Canadian Open,1565.174897999843,1570.7500516088514,1552.0289252420357,1602.0289252420357,0.5157821785395554,1.1102230246251565e-16
WTA,1st Round,2026-08-03,Korpatsch T.,Zarazua R.,0.5270533601692753,0.4066496163682865,12.04037438009888,2.5,False,1.0,-1.0,5.073045670925282,-5.073045670925282,Canadian Open,1521.760481631787,1553.712561235158,1508.3336112406278,1502.4275236891583,0.527103665752264,5.030558298868559e-05
WTA,1st Round,2026-08-03,Zhang S.,Putintseva Y.,0.478148854715662,0.3502415458937198,12.790730882194218,2.8,True,1.0,1.7999999999999998,4.921340692591455,8.858413246664618,Canadian Open,1565.9144635491684,1533.3165626527625,1567.4027063931337,1555.364174114775,0.47875680712960633,0.000607952413944346
ATP,2nd Round,05/08/2026,Darderi L.,Diallo G.,0.532522956818882,0.4196891191709845,11.283383764789743,2.3,True,1.0,1.2999999999999998,4.860922023670582,6.319198630771756,Canadian Open,1556.0531453128367,1650.575830846302,1512.82660848279,1529.898695414821,0.532522956818882,0.0
