player,tour,status,hand,backhand,wikipedia_title,raw_plays,height_cm,height_status,birth_year,birth_year_status
Coria F.,ATP,resolved,Right-handed,two-handed,Federico Coria,Right-handed (two-handed backhand),180.0,resolved,1992,resolved
Coric B.,ATP,resolved,Right-handed,two-handed,Borna Ćorić,Right-handed (two-handed backhand),188.0,resolved,1996,resolved
Couacaud E.,ATP,resolved,Right-handed,two-handed,Enzo Couacaud,Right-handed (two handed-backhand),183.0,resolved,1995,resolved
Crawford O.,ATP,resolved,Right-handed,two-handed,Oliver Crawford (tennis),Right-handed (two-handed backhand)<ref>{{cite web|url= https://www.atptour.com/en/players/oliver-crawford/c0ak/overview|website=ATP|accessdate=10 January 2024|title=Oliver Crawford }}</ref>,180.0,resolved,1999,resolved
Cressy M.,ATP,resolved,Right-handed,two-handed,Maxime Cressy,Right-handed (two-handed backhand),201.0,resolved,1997,resolved
Cuevas P.,ATP,resolved,Right-handed,one-handed,Pablo Cuevas,Right-handed (one-handed backhand),180.0,resolved,1986,resolved
Cui J.,ATP,unresolved_name,,,,,,,,
Dahlin M.,ATP,resolved,Right-handed,two-handed,Max Dahlin,Right-handed (two-handed backhand),188.0,resolved,2005,resolved
Damas M.,ATP,unresolved_name,,,,,,,,
Damm M.,ATP,resolved,Left-handed,two-handed,Martin Damm (born 2003),Left-handed (two-handed backhand),203.2,resolved,2003,resolved
Daniel T.,ATP,resolved,Right-handed,two-handed,Taro Daniel,Right-handed (two-handed backhand),191.0,resolved,1993,resolved
Darderi L.,ATP,resolved,Right-handed,two-handed,Luciano Darderi,Right-handed (two-handed backhand),183.0,resolved,2002,resolved
Davidovich Fokina A.,ATP,resolved,Right-handed,two-handed,Alejandro Davidovich Fokina,Right-handed (two-handed backhand),180.0,resolved,1999,resolved
De Jong J.,ATP,resolved,Right-handed,two-handed,Jesper de Jong,Right-handed (two-handed backhand),180.0,resolved,2000,resolved
De Minaur A.,ATP,resolved,Right-handed,two-handed,Alex de Minaur,"Right-handed (two-handed backhand)<ref name=""ATPoverview"" />",182.9,resolved,1999,resolved
Dedura D.,ATP,resolved,Left-handed,two-handed,Diego Dedura,Left-handed (two-handed backhand),180.0,resolved,2008,resolved
Dedura-Palomero D.,ATP,unresolved_name,,,,,,,,
Del Potro J.M.,ATP,resolved,Right-handed,two-handed,Juan Martín del Potro,Right-handed (two-handed backhand),198.0,resolved,1988,resolved
Delbonis F.,ATP,resolved,Left-handed,two-handed,Federico Delbonis,Left-handed (two-handed backhand),193.0,resolved,1990,resolved
Dellien H.,ATP,resolved,Right-handed,two-handed,Hugo Dellien,Right-handed <br/>(two-handed backhand),180.0,resolved,1993,resolved
Den Ouden G.,ATP,resolved,Right-handed,two-handed,Guy den Ouden,"Right-handed, (two-handed backhand)",183.0,resolved,2002,resolved
Denolly C.,ATP,resolved,Left-handed,two-handed,Corentin Denolly,Left-handed (two handed-backhand),185.0,resolved,1997,resolved
Diallo G.,ATP,resolved,Right-handed,two-handed,Gabriel Diallo,Right-handed (two-handed backhand),203.0,resolved,2001,resolved
Diaz Acosta F.,ATP,resolved,Left-handed,two-handed,Facundo Díaz Acosta,Left-handed (two-handed backhand),183.0,resolved,2000,resolved
Dietrich D.,ATP,unresolved_name,,,,,,,,
