WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Eala A.,Yastremska D.,32,52,1432,1170,7,5,4,6,7,5,2,1,Completed,1.67,2.2,,,1.7,2.3,1.66,2.17,1.72,2.38
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Bencic B.,Hunter S.,12,234,2898,301,6,3,6,2,,,2,0,Completed,1.11,6.5,,,1.12,7,1.11,6.28,1.15,7.4
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Sakkari M.,Tagger L.,34,119,1410,673,7,5,6,0,,,2,0,Completed,1.44,2.75,,,1.5,2.75,1.46,2.65,1.56,2.74
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Muchova K.,Bondar A.,13,66,2668,978,7,5,6,2,,,2,0,Completed,1.08,8,,,1.08,8.5,1.07,7.77,1.1,10
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Rybakina E.,Baptiste H.,3,43,7253,1274,7,6,2,6,6,2,2,1,Completed,1.07,9,,,1.07,9,1.07,8.16,1.11,9.2
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Ostapenko J.,Volynets K.,26,98,1600,786,6,4,7,6,,,2,0,Completed,1.53,2.5,,,1.6,2.5,1.55,2.41,1.61,2.6
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Swiatek I.,Day K.,2,187,7588,386,6,0,7,6,,,2,0,Completed,1.02,17,,,1.02,19,1.02,14.45,1.03,22
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Kartal S.,Navarro E.,54,25,1127,1605,6,1,3,6,7,6,2,1,Completed,1.91,1.91,,,1.91,2.75,1.81,1.99,1.9,2.06
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Krueger A.,Samsonova L.,82,19,849,2050,3,6,7,5,6,2,2,1,Completed,2.1,1.73,,,2.2,1.75,2.08,1.72,2.18,1.82
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Andreeva M.,Sierra S.,8,65,4001,980,6,0,6,0,,,2,0,Completed,1.04,13,,,1.04,14,1.03,11.09,1.06,16
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Siniakova K.,Fernandez L.A.,44,27,1269,1598,5,7,6,4,7,6,2,1,Completed,1.8,2,,,1.86,2.07,1.79,1.98,1.9,2.08
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Ruzic A.,Zheng Q.,57,23,1075,1758,6,4,7,5,,,2,0,Completed,3.4,1.33,,,3.65,1.33,3.45,1.3,3.75,1.36
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Mertens E.,Bucsa C.,21,31,1936,1436,6,2,6,1,,,2,0,Completed,1.44,2.75,,,1.45,2.8,1.44,2.71,1.5,2.9
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Pegula J.,Vekic D.,5,103,6583,768,4,6,6,2,6,3,2,1,Completed,1.1,7,,,1.11,7,1.1,6.61,1.11,8.8
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Keys M.,Parry D.,15,111,2351,724,6,4,6,3,,,2,0,Completed,1.22,4.33,,,1.26,4.33,1.24,3.93,1.27,4.4
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Kostyuk M.,Townsend T.,28,87,1583,829,6,3,6,2,,,2,0,Completed,1.57,2.38,,,1.64,2.38,1.6,2.28,1.64,2.5
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Svitolina E.,Siegemund L.,9,55,3845,1110,7,6,4,6,6,3,2,1,Completed,1.1,7,,,1.1,10,1.09,7.16,1.11,9.2
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Noskova L.,Cirstea S.,14,38,2421,1344,6,7,6,4,6,4,2,1,Completed,2.1,1.73,,,2.12,1.74,2.1,1.71,2.28,1.77
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Gibson T.,Tauson C.,112,17,721,2095,7,6,4,6,6,4,2,1,Completed,3.75,1.29,,,3.75,1.3,3.55,1.29,3.9,1.33
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Sabalenka A.,Cristian J.,1,35,10675,1367,6,4,6,1,,,2,0,Completed,1.03,15,,,1.04,15,1.03,11.95,1.05,18.5
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Paolini J.,Tomljanovic A.,7,85,4232,837,7,5,5,7,6,1,2,1,Completed,1.5,2.63,,,1.53,2.63,1.51,2.53,1.57,2.74
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Osaka N.,Osorio M.,16,61,2324,1041,6,1,3,6,6,1,2,1,Completed,1.44,2.75,,,1.55,2.75,1.51,2.52,1.58,2.68
13,Indian Wells,BNP Paribas Open,08/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Anisimova A.,Raducanu E.,6,24,6070,1645,6,1,6,1,,,2,0,Completed,1.3,3.5,,,1.33,3.5,1.31,3.36,1.36,3.75
